App,Reviewer,E1_Entertainment,E2_Interest,E3_Customisation,E4_Interactivity,E5_TargetGroup,F1_Performance,F2_EaseOfUse,F3_Navigation,F4_GesturalDesign,A1_Layout,A2_Graphics,A3_VisualAppeal,I1_Accuracy,I2_Goals,I3_QualityInfo,I4_QuantityInfo,Evidence_Traceability,Personalisation,GWG_Monitoring,Privacy_Transparency
Gravidanza+,R1,4,4,2,4,5,4,5,4,4,5,5,5,3,3,3,3,2,1,2,3
Gravidanza+,R2,4,4,2,4,5,5,5,5,4,5,5,5,3,3,3,3,2,1,2,4

Sprout Pregnancy,R1,4,4,1,3,5,4,5,4,4,5,5,5,2,2,2,2,1,1,1,3
Sprout Pregnancy,R2,3,4,1,3,5,4,5,4,4,5,5,5,2,2,2,2,1,1,1,3

Baby Mam,R1,3,3,2,3,4,3,4,3,3,3,3,3,3,3,3,3,2,2,1,3
Baby Mam,R2,3,3,2,3,4,3,4,3,3,4,4,4,3,3,3,3,2,2,1,3

MATER,R1,4,4,4,4,5,4,5,4,4,3,4,3,4,5,4,5,3,4,4,4
MATER,R2,5,4,4,4,5,4,5,4,4,3,4,4,4,5,4,5,3,5,4,4